,LSTM,LSTM,LSTM,LSTM,LSTM,LSTM,VAR,VAR,VAR,VAR,VAR,VAR,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Autoencoder,Trend-follow,Trend-follow,Trend-follow,Trend-follow,Trend-follow,Trend-follow
,2Y,3Y,5Y,7Y,10Y,20Y,2Y,3Y,5Y,7Y,10Y,20Y,2Y,3Y,5Y,7Y,10Y,20Y,2Y,3Y,5Y,7Y,10Y,20Y
Date,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-06,14.000000000000012,8.999999999999986,7.999999999999963,8.999999999999986,5.000000000000027,-8.999999999999986,14.000000000000012,8.999999999999986,7.999999999999963,8.999999999999986,5.000000000000027,-8.999999999999986,14.000000000000012,-8.999999999999986,-7.999999999999963,8.999999999999986,-5.000000000000027,8.999999999999986,-14.000000000000012,-8.999999999999986,-7.999999999999963,-8.999999999999986,-5.000000000000027,8.999999999999986
2008-06-13,-46.0,-50.0,46.0,40.000000000000036,30.99999999999996,-29.000000000000004,-46.0,-50.0,-46.0,-40.000000000000036,-30.99999999999996,-29.000000000000004,-46.0,50.0,-46.0,-40.000000000000036,-30.99999999999996,29.000000000000004,-46.0,-50.0,-46.0,-40.000000000000036,-30.99999999999996,-29.000000000000004
2008-06-20,-21.999999999999975,-19.99999999999997,14.999999999999991,-10.000000000000009,-4.999999999999982,-4.999999999999982,-21.999999999999975,-19.99999999999997,-14.999999999999991,-10.000000000000009,-4.999999999999982,4.999999999999982,-21.999999999999975,19.99999999999997,14.999999999999991,-10.000000000000009,4.999999999999982,4.999999999999982,21.999999999999975,19.99999999999997,14.999999999999991,10.000000000000009,4.999999999999982,4.999999999999982
2008-06-27,5.000000000000027,8.999999999999986,9.00000000000003,10.999999999999988,13.999999999999968,16.999999999999993,5.000000000000027,8.999999999999986,9.00000000000003,10.999999999999988,13.999999999999968,16.999999999999993,-5.000000000000027,-8.999999999999986,-9.00000000000003,10.999999999999988,-13.999999999999968,-16.999999999999993,-5.000000000000027,-8.999999999999986,-9.00000000000003,-10.999999999999988,-13.999999999999968,-16.999999999999993
2008-07-04,-3.000000000000025,-2.9999999999999805,-4.999999999999982,-4.999999999999982,-2.0000000000000018,3.000000000000025,-3.000000000000025,-2.9999999999999805,-4.999999999999982,-4.999999999999982,-2.0000000000000018,3.000000000000025,3.000000000000025,2.9999999999999805,4.999999999999982,-4.999999999999982,2.0000000000000018,3.000000000000025,3.000000000000025,2.9999999999999805,4.999999999999982,4.999999999999982,-2.0000000000000018,3.000000000000025
2008-07-11,-8.000000000000007,-8.000000000000007,-6.000000000000005,-4.0000000000000036,-2.0000000000000018,0.9999999999999787,-8.000000000000007,-8.000000000000007,-6.000000000000005,-4.0000000000000036,-2.0000000000000018,0.9999999999999787,8.000000000000007,8.000000000000007,-6.000000000000005,-4.0000000000000036,2.0000000000000018,-0.9999999999999787,-8.000000000000007,-8.000000000000007,6.000000000000005,4.0000000000000036,2.0000000000000018,-0.9999999999999787
2008-07-18,-26.00000000000002,-30.00000000000003,-31.000000000000007,-29.000000000000004,-27.000000000000046,20.999999999999996,-26.00000000000002,-30.00000000000003,-31.000000000000007,-29.000000000000004,-27.000000000000046,-20.999999999999996,26.00000000000002,30.00000000000003,31.000000000000007,-29.000000000000004,27.000000000000046,20.999999999999996,-26.00000000000002,-30.00000000000003,-31.000000000000007,-29.000000000000004,-27.000000000000046,-20.999999999999996
2008-07-25,-28.000000000000025,-30.99999999999996,31.000000000000007,-27.99999999999998,-25.99999999999998,25.0,-28.000000000000025,-30.99999999999996,-31.000000000000007,-27.99999999999998,-25.99999999999998,-25.0,-28.000000000000025,30.99999999999996,31.000000000000007,-27.99999999999998,25.99999999999998,25.0,-28.000000000000025,-30.99999999999996,-31.000000000000007,-27.99999999999998,-25.99999999999998,-25.0
2008-08-01,-14.999999999999991,-18.999999999999993,-12.99999999999999,-8.999999999999986,-14.000000000000012,-14.000000000000057,-14.999999999999991,-18.999999999999993,-12.99999999999999,-8.999999999999986,-14.000000000000012,-14.000000000000057,14.999999999999991,18.999999999999993,12.99999999999999,-8.999999999999986,14.000000000000012,14.000000000000057,14.999999999999991,18.999999999999993,12.99999999999999,8.999999999999986,14.000000000000012,14.000000000000057
2008-08-08,-27.99999999999998,-35.999999999999986,-29.999999999999982,-26.999999999999957,-27.99999999999998,-27.000000000000046,-27.99999999999998,-35.999999999999986,-29.999999999999982,-26.999999999999957,-27.99999999999998,-27.000000000000046,27.99999999999998,35.999999999999986,-29.999999999999982,-26.999999999999957,27.99999999999998,27.000000000000046,-27.99999999999998,-35.999999999999986,29.999999999999982,26.999999999999957,27.99999999999998,27.000000000000046
2008-08-15,-16.999999999999993,-21.999999999999975,-13.999999999999968,-10.000000000000009,-9.999999999999964,-13.999999999999968,-16.999999999999993,-21.999999999999975,-13.999999999999968,-10.000000000000009,-9.999999999999964,-13.999999999999968,16.999999999999993,21.999999999999975,13.999999999999968,-10.000000000000009,9.999999999999964,13.999999999999968,16.999999999999993,21.999999999999975,13.999999999999968,10.000000000000009,9.999999999999964,13.999999999999968
2008-08-22,-25.99999999999998,-28.000000000000025,-13.000000000000034,-8.000000000000007,-9.00000000000003,-8.000000000000007,-25.99999999999998,-28.000000000000025,-13.000000000000034,-8.000000000000007,-9.00000000000003,-8.000000000000007,25.99999999999998,28.000000000000025,13.000000000000034,-8.000000000000007,9.00000000000003,8.000000000000007,-25.99999999999998,-28.000000000000025,-13.000000000000034,-8.000000000000007,-9.00000000000003,-8.000000000000007
2008-08-29,-25.0,-22.00000000000002,-5.000000000000027,-4.0000000000000036,2.0000000000000018,-2.999999999999936,-25.0,-22.00000000000002,-5.000000000000027,-4.0000000000000036,2.0000000000000018,-2.999999999999936,25.0,22.00000000000002,5.000000000000027,4.0000000000000036,-2.0000000000000018,-2.999999999999936,25.0,22.00000000000002,5.000000000000027,-4.0000000000000036,-2.0000000000000018,2.999999999999936
2008-09-05,-62.999999999999986,-57.999999999999986,-27.0,-15.000000000000036,-3.000000000000025,-4.999999999999982,-62.999999999999986,-57.999999999999986,-27.0,-15.000000000000036,-3.000000000000025,-4.999999999999982,62.999999999999986,57.999999999999986,27.0,-15.000000000000036,3.000000000000025,-4.999999999999982,62.999999999999986,57.999999999999986,27.0,15.000000000000036,3.000000000000025,4.999999999999982
2008-09-12,-60.999999999999986,-58.00000000000001,-20.000000000000018,-4.999999999999982,14.999999999999991,4.999999999999982,-60.999999999999986,-58.00000000000001,-20.000000000000018,-4.999999999999982,14.999999999999991,4.999999999999982,60.999999999999986,58.00000000000001,20.000000000000018,4.999999999999982,-14.999999999999991,4.999999999999982,-60.999999999999986,-58.00000000000001,-20.000000000000018,-4.999999999999982,14.999999999999991,4.999999999999982
2008-09-19,-52.00000000000002,-52.0,-17.99999999999997,-7.000000000000028,20.000000000000018,24.00000000000002,-52.00000000000002,-52.0,-17.99999999999997,-7.000000000000028,20.000000000000018,24.00000000000002,52.00000000000002,-52.0,17.99999999999997,7.000000000000028,-20.000000000000018,24.00000000000002,52.00000000000002,52.0,-17.99999999999997,-7.000000000000028,20.000000000000018,24.00000000000002
2008-09-26,-53.99999999999998,-57.999999999999986,-40.99999999999997,-32.00000000000003,-9.00000000000003,-0.0,-53.99999999999998,-57.999999999999986,-40.99999999999997,-32.00000000000003,-9.00000000000003,-0.0,53.99999999999998,-57.999999999999986,40.99999999999997,32.00000000000003,9.00000000000003,-0.0,53.99999999999998,57.999999999999986,-40.99999999999997,-32.00000000000003,-9.00000000000003,-0.0
2008-10-03,-4.0000000000000036,-6.000000000000005,15.99999999999997,20.000000000000018,37.999999999999986,48.00000000000004,-4.0000000000000036,-6.000000000000005,15.99999999999997,20.000000000000018,37.999999999999986,48.00000000000004,4.0000000000000036,-6.000000000000005,-15.99999999999997,-20.000000000000018,-37.999999999999986,48.00000000000004,4.0000000000000036,6.000000000000005,-15.99999999999997,-20.000000000000018,-37.999999999999986,-48.00000000000004
2008-10-10,-29.000000000000004,-16.000000000000014,-20.999999999999996,-16.000000000000014,-6.000000000000005,16.000000000000014,29.000000000000004,-16.000000000000014,-20.999999999999996,-16.000000000000014,-6.000000000000005,16.000000000000014,29.000000000000004,-16.000000000000014,20.999999999999996,16.000000000000014,6.000000000000005,16.000000000000014,-29.000000000000004,-16.000000000000014,-20.999999999999996,-16.000000000000014,-6.000000000000005,16.000000000000014
2008-10-17,-41.99999999999999,-36.999999999999986,-50.0,-35.999999999999986,25.99999999999998,-23.000000000000043,41.99999999999999,36.999999999999986,50.0,-35.999999999999986,-25.99999999999998,-23.000000000000043,41.99999999999999,-36.999999999999986,50.0,-35.999999999999986,25.99999999999998,-23.000000000000043,-41.99999999999999,-36.999999999999986,-50.0,-35.999999999999986,-25.99999999999998,-23.000000000000043
2008-10-24,-48.0,-44.99999999999999,-62.000000000000014,-56.00000000000001,-55.99999999999996,-51.00000000000002,48.0,44.99999999999999,62.000000000000014,-56.00000000000001,55.99999999999996,-51.00000000000002,48.0,-44.99999999999999,62.000000000000014,-56.00000000000001,55.99999999999996,-51.00000000000002,48.0,44.99999999999999,62.000000000000014,56.00000000000001,55.99999999999996,51.00000000000002
2008-10-31,-56.00000000000001,-53.0,-86.99999999999999,-94.0,107.99999999999996,-103.00000000000003,56.00000000000001,53.0,-86.99999999999999,-94.0,-107.99999999999996,-103.00000000000003,56.00000000000001,-53.0,86.99999999999999,-94.0,107.99999999999996,-103.00000000000003,56.00000000000001,-53.0,-86.99999999999999,-94.0,-107.99999999999996,-103.00000000000003
2008-11-07,-40.0,-52.0,-89.00000000000001,-102.0,-116.00000000000001,-116.00000000000001,-40.0,-52.0,-89.00000000000001,-102.0,-116.00000000000001,-116.00000000000001,40.0,-52.0,-89.00000000000001,-102.0,116.00000000000001,-116.00000000000001,40.0,52.0,89.00000000000001,102.0,116.00000000000001,116.00000000000001
2008-11-14,-43.99999999999999,-48.0,-78.0,-96.0,-112.00000000000001,-106.99999999999999,-43.99999999999999,-48.0,-78.0,-96.0,-112.00000000000001,-106.99999999999999,43.99999999999999,-48.0,-78.0,-96.0,112.00000000000001,-106.99999999999999,43.99999999999999,48.0,78.0,96.0,112.00000000000001,106.99999999999999
2008-11-21,-35.00000000000001,-33.00000000000001,-67.0,-86.99999999999999,-107.00000000000003,-104.0,35.00000000000001,-33.00000000000001,-67.0,-86.99999999999999,-107.00000000000003,-104.0,-35.00000000000001,-33.00000000000001,-67.0,-86.99999999999999,107.00000000000003,-104.0,35.00000000000001,33.00000000000001,67.0,86.99999999999999,107.00000000000003,104.0
2008-11-28,-10.999999999999998,-18.999999999999993,-41.99999999999999,-55.00000000000001,-77.0,-79.99999999999999,10.999999999999998,18.999999999999993,41.99999999999999,55.00000000000001,77.0,-79.99999999999999,-10.999999999999998,-18.999999999999993,-41.99999999999999,-55.00000000000001,77.0,-79.99999999999999,10.999999999999998,18.999999999999993,41.99999999999999,55.00000000000001,77.0,79.99999999999999
2008-12-05,-5.000000000000004,-5.000000000000004,5.000000000000004,-2.0000000000000018,-20.999999999999996,-18.999999999999993,5.000000000000004,-5.000000000000004,5.000000000000004,-2.0000000000000018,-20.999999999999996,-18.999999999999993,-5.000000000000004,5.000000000000004,5.000000000000004,-2.0000000000000018,20.999999999999996,-18.999999999999993,5.000000000000004,5.000000000000004,-5.000000000000004,2.0000000000000018,20.999999999999996,18.999999999999993
2008-12-12,-3.0000000000000027,6.000000000000005,-4.0000000000000036,-10.000000000000009,-16.999999999999993,3.000000000000025,-3.0000000000000027,6.000000000000005,-4.0000000000000036,-10.000000000000009,-16.999999999999993,3.000000000000025,-3.0000000000000027,-6.000000000000005,-4.0000000000000036,-10.000000000000009,16.999999999999993,3.000000000000025,3.0000000000000027,-6.000000000000005,4.0000000000000036,10.000000000000009,16.999999999999993,-3.000000000000025
2008-12-19,-1.0000000000000009,3.0000000000000027,11.99999999999999,17.000000000000014,23.0,33.00000000000001,-1.0000000000000009,3.0000000000000027,11.99999999999999,17.000000000000014,23.0,33.00000000000001,-1.0000000000000009,-3.0000000000000027,11.99999999999999,17.000000000000014,23.0,33.00000000000001,1.0000000000000009,-3.0000000000000027,-11.99999999999999,-17.000000000000014,-23.0,-33.00000000000001
2008-12-26,-6.000000000000005,7.999999999999985,12.99999999999999,24.99999999999998,48.99999999999998,73.99999999999997,-6.000000000000005,7.999999999999985,12.99999999999999,24.99999999999998,48.99999999999998,73.99999999999997,6.000000000000005,7.999999999999985,12.99999999999999,24.99999999999998,48.99999999999998,73.99999999999997,-6.000000000000005,7.999999999999985,12.99999999999999,24.99999999999998,48.99999999999998,73.99999999999997
2009-01-02,5.999999999999995,18.000000000000014,13.00000000000001,20.000000000000018,41.000000000000014,63.99999999999997,5.999999999999995,18.000000000000014,13.00000000000001,20.000000000000018,41.000000000000014,63.99999999999997,-5.999999999999995,18.000000000000014,-13.00000000000001,-20.000000000000018,41.000000000000014,63.99999999999997,-5.999999999999995,18.000000000000014,13.00000000000001,20.000000000000018,41.000000000000014,63.99999999999997
2009-01-09,24.0,32.999999999999986,46.0,52.0,61.999999999999964,54.999999999999986,24.0,32.999999999999986,46.0,52.0,61.999999999999964,54.999999999999986,24.0,-32.999999999999986,46.0,52.0,61.999999999999964,-54.999999999999986,-24.0,-32.999999999999986,-46.0,-52.0,-61.999999999999964,54.999999999999986
2009-01-16,24.0,32.00000000000001,40.99999999999999,46.0,53.00000000000003,69.0,24.0,32.00000000000001,40.99999999999999,46.0,53.00000000000003,69.0,24.0,-32.00000000000001,40.99999999999999,46.0,53.00000000000003,-69.0,-24.0,-32.00000000000001,-40.99999999999999,-46.0,-53.00000000000003,-69.0
2009-01-23,13.0,14.000000000000012,17.000000000000014,16.000000000000014,12.99999999999999,16.999999999999993,13.0,14.000000000000012,17.000000000000014,16.000000000000014,12.99999999999999,-16.999999999999993,13.0,-14.000000000000012,17.000000000000014,16.000000000000014,12.99999999999999,-16.999999999999993,13.0,14.000000000000012,17.000000000000014,16.000000000000014,12.99999999999999,16.999999999999993
